model,consumo_por_km,pneus,data
3C4PDDGG5ET466529,85,18,9/29/2019
1N4AB7AP4DN959516,81,16,3/20/2020
JTDKN3DUXA0587964,97,18,10/25/2019
KNADM5A37F6120229,42,15,12/2/2019
1FTEW1CM4EK261505,53,17,11/27/2019
WVWED7AJ3BW104735,36,14,7/16/2019
1G6AG5RX9E0268374,73,13,6/8/2019
KNADH4A37B6263853,5,18,2/29/2020
19XFA1E84BE770403,98,16,11/4/2019
2C3CDXL97FH497271,1,12,11/5/2019
SAJWA2GT1EM555303,20,17,1/6/2020
WBADR63451G834876,16,13,7/29/2019
3N1BC1AP6AL173613,91,15,5/29/2019
1FTEX1CM3BK014341,67,13,12/18/2019
WP0AB2A88CS118398,30,18,3/13/2020
SAJWA4DC9AM757798,83,14,5/25/2019
1C6RD6PT6CS912954,99,16,8/27/2019
WAUYGAFC3DN932169,33,18,2/25/2020
WAULF78K29A947247,88,12,1/5/2020
WVWGD7AJ0EW374261,91,16,2/10/2020
